REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
../data/speech/test/clean/FMGD0_SX214.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FDHC0_SX29_sample_spectrum_spectrum.wav	 0.780	 1.117	 16000	nb16000
../data/speech/test/clean/MCMJ0_SI1094.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FDHC0_SX119_sample_spectrum_spectrum.wav	 1.818	 1.500	 16000	nb16000
../data/speech/test/clean/MDAB0_SI1669.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MDAB0_SI1039_sample_spectrum_spectrum.wav	 0.348	 1.062	 16000	nb16000
../data/speech/test/clean/MCMJ0_SI464.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MCMJ0_SI1094_sample_spectrum_spectrum.wav	 0.720	 1.107	 16000	nb16000
../data/speech/test/clean/FELC0_SI756.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FMGD0_SX304_sample_spectrum_spectrum.wav	 1.567	 1.358	 16000	nb16000
../data/speech/test/clean/MDAB0_SX409.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MDAB0_SI2299_sample_spectrum_spectrum.wav	 0.679	 1.101	 16000	nb16000
../data/speech/test/clean/MGRT0_SX10.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MCMJ0_SI602_sample_spectrum_spectrum.wav	 0.750	 1.112	 16000	nb16000
../data/speech/test/clean/MCMJ0_SX374.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MDAB0_SI1669_sample_spectrum_spectrum.wav	 1.062	 1.176	 16000	nb16000
../data/speech/test/clean/FDHC0_SX119.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FMGD0_SI2194_sample_spectrum_spectrum.wav	 0.438	 1.071	 16000	nb16000
../data/speech/test/clean/MCMJ0_SI602.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MCMJ0_SX194_sample_spectrum_spectrum.wav	 1.390	 1.280	 16000	nb16000
../data/speech/test/clean/MGRT0_SI1450.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FELC0_SX396_sample_spectrum_spectrum.wav	 2.555	 2.204	 16000	nb16000
../data/speech/test/clean/MDAB0_SX49.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FDHC0_SX389_sample_spectrum_spectrum.wav	 0.685	 1.102	 16000	nb16000
../data/speech/test/clean/MDAB0_SX319.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FELC0_SX306_sample_spectrum_spectrum.wav	 0.961	 1.152	 16000	nb16000
../data/speech/test/clean/FMGD0_SX34.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MDAB0_SX319_sample_spectrum_spectrum.wav	 0.377	 1.064	 16000	nb16000
../data/speech/test/clean/FMGD0_SX394.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/FELC0_SX36_sample_spectrum_spectrum.wav	 0.828	 1.125	 16000	nb16000
../data/speech/test/clean/FDHC0_SI1559.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MCMJ0_SI464_sample_spectrum_spectrum.wav	 0.086	 1.042	 16000	nb16000
../data/speech/test/clean/FELC0_SX126.wav	 ../spectrum/speech/test/noisy/destroyerops/5dB/MCMJ0_SX104_sample_spectrum_spectrum.wav	 0.730	 1.108	 16000	nb16000
../data/speech/test/clean/MGRT0_SX190.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FELC0_SI756_sample_spectrum_spectrum.wav	 0.874	 1.134	 16000	nb16000
../data/speech/test/clean/FELC0_SX216.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FELC0_SX216_sample_spectrum_spectrum.wav	 1.729	 1.444	 16000	nb16000
../data/speech/test/clean/FELC0_SX306.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MDAB0_SX409_sample_spectrum_spectrum.wav	 0.387	 1.065	 16000	nb16000
../data/speech/test/clean/MCMJ0_SX104.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FELC0_SI2016_sample_spectrum_spectrum.wav	 0.801	 1.121	 16000	nb16000
../data/speech/test/clean/FDHC0_SX389.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MDAB0_SX139_sample_spectrum_spectrum.wav	 0.227	 1.051	 16000	nb16000
../data/speech/test/clean/FELC0_SI2016.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MGRT0_SX370_sample_spectrum_spectrum.wav	 2.467	 2.096	 16000	nb16000
../data/speech/test/clean/FMGD0_SI934.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FDHC0_SX209_sample_spectrum_spectrum.wav	 2.258	 1.865	 16000	nb16000
../data/speech/test/clean/FMGD0_SI2194.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FMGD0_SX34_sample_spectrum_spectrum.wav	 0.438	 1.070	 16000	nb16000
../data/speech/test/clean/FDHC0_SI929.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MGRT0_SI820_sample_spectrum_spectrum.wav	 1.945	 1.589	 16000	nb16000
../data/speech/test/clean/FELC0_SI1386.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FDHC0_SI2189_sample_spectrum_spectrum.wav	 0.604	 1.090	 16000	nb16000
../data/speech/test/clean/MGRT0_SI2080.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FMGD0_SI1564_sample_spectrum_spectrum.wav	 -0.081	 1.032	 16000	nb16000
../data/speech/test/clean/MCMJ0_SX194.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FMGD0_SX214_sample_spectrum_spectrum.wav	 0.040	 1.039	 16000	nb16000
../data/speech/test/clean/FMGD0_SX304.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MDAB0_SX49_sample_spectrum_spectrum.wav	 1.019	 1.165	 16000	nb16000
../data/speech/test/clean/FDHC0_SX209.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FDHC0_SX299_sample_spectrum_spectrum.wav	 -0.010	 1.036	 16000	nb16000
../data/speech/test/clean/MDAB0_SX229.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MGRT0_SI2080_sample_spectrum_spectrum.wav	 0.089	 1.042	 16000	nb16000
../data/speech/test/clean/FMGD0_SX124.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FMGD0_SI934_sample_spectrum_spectrum.wav	 1.240	 1.227	 16000	nb16000
../data/speech/test/clean/FELC0_SX396.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FMGD0_SX124_sample_spectrum_spectrum.wav	 2.944	 2.740	 16000	nb16000
../data/speech/test/clean/FELC0_SX36.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MGRT0_SX280_sample_spectrum_spectrum.wav	 1.675	 1.414	 16000	nb16000
../data/speech/test/clean/FMGD0_SI1564.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MGRT0_SX10_sample_spectrum_spectrum.wav	 1.382	 1.277	 16000	nb16000
../data/speech/test/clean/FDHC0_SX29.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FDHC0_SI929_sample_spectrum_spectrum.wav	 0.961	 1.152	 16000	nb16000
../data/speech/test/clean/MGRT0_SX100.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MGRT0_SX190_sample_spectrum_spectrum.wav	 1.078	 1.180	 16000	nb16000
../data/speech/test/clean/MGRT0_SI820.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MGRT0_SX100_sample_spectrum_spectrum.wav	 2.223	 1.830	 16000	nb16000
../data/speech/test/clean/MCMJ0_SX284.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MCMJ0_SX284_sample_spectrum_spectrum.wav	 2.273	 1.881	 16000	nb16000
../data/speech/test/clean/MGRT0_SX280.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/MGRT0_SI1450_sample_spectrum_spectrum.wav	 0.885	 1.136	 16000	nb16000
../data/speech/test/clean/MGRT0_SX370.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FELC0_SI1386_sample_spectrum_spectrum.wav	 0.821	 1.124	 16000	nb16000
../data/speech/test/clean/MDAB0_SI1039.wav	 ../spectrum/speech/test/noisy/destroyerops/10dB/FELC0_SX126_sample_spectrum_spectrum.wav	 0.769	 1.115	 16000	nb16000
